Level,ID,Name,ParentID,ParentName,FullPath,URL
3,1151105,"커플룩/패밀리룩",1149940,"캐주얼의류","패션/잡화 > 캐주얼의류 > 커플룩/패밀리룩",https://www.11st.co.kr/amazon/category?dispCtgr3No=1151105
3,1151104,"아우터",1149940,"캐주얼의류","패션/잡화 > 캐주얼의류 > 아우터",https://www.11st.co.kr/amazon/category?dispCtgr3No=1151104
3,1151106,"트레이닝",1149940,"캐주얼의류","패션/잡화 > 캐주얼의류 > 트레이닝",https://www.11st.co.kr/amazon/category?dispCtgr3No=1151106
3,1151102,"빅 사이즈 의류",1149940,"캐주얼의류","패션/잡화 > 캐주얼의류 > 빅 사이즈 의류",https://www.11st.co.kr/amazon/category?dispCtgr3No=1151102
2,1149941,"가방",1149726,"패션/잡화","패션/잡화 > 가방",https://www.11st.co.kr/amazon/category?dispCtgr2No=1149941
3,1150142,"여성 가방",1149941,"가방","패션/잡화 > 가방 > 여성 가방",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150142
3,1150143,"여행용 가방/소품",1149941,"가방","패션/잡화 > 가방 > 여행용 가방/소품",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150143
3,1150140,"가방 액세서리",1149941,"가방","패션/잡화 > 가방 > 가방 액세서리",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150140
3,1150151,"캐주얼 가방",1149941,"가방","패션/잡화 > 가방 > 캐주얼 가방",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150151
3,1150141,"남성 가방",1149941,"가방","패션/잡화 > 가방 > 남성 가방",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150141
3,1150146,"보스턴 가방",1149941,"가방","패션/잡화 > 가방 > 보스턴 가방",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150146
3,1150148,"여권케이스",1149941,"가방","패션/잡화 > 가방 > 여권케이스",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150148
3,1150147,"여행 가방 세트",1149941,"가방","패션/잡화 > 가방 > 여행 가방 세트",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150147
3,1150145,"소프트 캐리어",1149941,"가방","패션/잡화 > 가방 > 소프트 캐리어",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150145
2,1229119,"스포츠의류",1149726,"패션/잡화","패션/잡화 > 스포츠의류",https://www.11st.co.kr/amazon/category?dispCtgr2No=1229119
