,,,,,,,,,,
,수집카테고리,필터이름,URL,수집상품 개수,필터 누적 매출금액,,사업자명,수집사이트,총 상품개수,매출합계
,스키/겨울스포츠,섬김Trade0- 11번가 아마존-스키/겨울스포츠,https://www.11st.co.kr/amazon/category?dispCtgr3No=1229128&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,넥워머,섬김Trade0- 11번가 아마존-넥워머,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150158&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,휴대폰/액세서리,섬김Trade0- 11번가 아마존-휴대폰/액세서리,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150023&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,통신 기기 기타,섬김Trade0- 11번가 아마존-통신 기기 기타,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150017&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,전화기 기타,섬김Trade0- 11번가 아마존-전화기 기타,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150016&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,유선전화기,섬김Trade0- 11번가 아마존-유선전화기,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150020&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,무전기,섬김Trade0- 11번가 아마존-무전기,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150019&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,네일케어,섬김Trade0- 11번가 아마존-네일케어,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150327&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,스포츠잡화,섬김Trade0- 11번가 아마존-스포츠잡화,https://www.11st.co.kr/amazon/category?dispCtgr2No=1149923&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,생활가전,섬김Trade0- 11번가 아마존-생활가전,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150024&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,주방가전,섬김Trade0- 11번가 아마존-주방가전,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150028&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,이미용가전,섬김Trade0- 11번가 아마존-이미용가전,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150027&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,영상 액세서리,섬김Trade0- 11번가 아마존-영상 액세서리,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150030&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,VTR/DVD 플레이어,섬김Trade0- 11번가 아마존-VTR/DVD 플레이어,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150032&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,음향기기 기타,섬김Trade0- 11번가 아마존-음향기기 기타,https://www.11st.co.kr/amazon/category?dispCtgr3No=1153938&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,라디오,섬김Trade0- 11번가 아마존-라디오,https://www.11st.co.kr/amazon/category?dispCtgr3No=1153939&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,이불/요,섬김Trade0- 11번가 아마존-이불/요,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150761&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,침구 세트,섬김Trade0- 11번가 아마존-침구 세트,https://www.11st.co.kr/amazon/category?dispCtgr3No=1151108&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,게임기 주변기기,섬김Trade0- 11번가 아마존-게임기 주변기기,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150047&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,게임기,섬김Trade0- 11번가 아마존-게임기,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150046&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,커튼/블라인드,섬김Trade0- 11번가 아마존-커튼/블라인드,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150767&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,냉방 가전 액세서리,섬김Trade0- 11번가 아마존-냉방 가전 액세서리,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150008&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,냉풍기,섬김Trade0- 11번가 아마존-냉풍기,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150009&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,선풍기,섬김Trade0- 11번가 아마존-선풍기,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150010&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,히터,섬김Trade0- 11번가 아마존-히터,https://www.11st.co.kr/amazon/category?dispCtgr3No=1149997&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,장식소품,섬김Trade0- 11번가 아마존-장식소품,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150756&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,시즌 소품,섬김Trade0- 11번가 아마존-시즌 소품,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150750&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,https://www.11st.co.kr/amazon/category?dispCtgr3No=1151108,,
,스마트 램프,섬김Trade0- 11번가 아마존-스마트 램프,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150049&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,스마트 스위치,섬김Trade0- 11번가 아마존-스마트 스위치,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150051&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,스마트 워치,섬김Trade0- 11번가 아마존-스마트 워치,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150053&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,스마트 밴드,섬김Trade0- 11번가 아마존-스마트 밴드,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150050&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,스마트 온도계,섬김Trade0- 11번가 아마존-스마트 온도계,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150052&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,기타 웨어러블,섬김Trade0- 11번가 아마존-기타 웨어러블,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150057&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,안마 기기,섬김Trade0- 11번가 아마존-안마 기기,https://www.11st.co.kr/amazon/category?dispCtgr3No=1149995&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,안경/선글라스,섬김Trade0- 11번가 아마존-안경/선글라스,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150168&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,"귀마개","섬김Trade0- 11번가 아마존-귀마개",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150157&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,넥워머,섬김Trade0- 11번가 아마존-넥워머,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150158&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,랜턴/조명,섬김Trade0- 11번가 아마존-랜턴/조명,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150230&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,기타 저장용기,섬김Trade0- 11번가 아마존-기타 저장용기,https://www.11st.co.kr/amazon/category?dispCtgr3No=1151110&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,도시락통/가방,섬김Trade0- 11번가 아마존-도시락통/가방,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150802&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,보관/밀폐용기,섬김Trade0- 11번가 아마존-보관/밀폐용기,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150804&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,물통/물병,섬김Trade0- 11번가 아마존-물통/물병,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150803&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,주방잡화/액세서리,섬김Trade0- 11번가 아마존-주방잡화/액세서리,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150818&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,건조대/진열대/정리대,섬김Trade0- 11번가 아마존-건조대/진열대/정리대,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150815&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,주방 세척도구,섬김Trade0- 11번가 아마존-주방 세척도구,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150817&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,측정용품,섬김Trade0- 11번가 아마존-측정용품,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150222&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,암벽/빙벽등반 용품,섬김Trade0- 11번가 아마존-암벽/빙벽등반 용품,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150207&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,등산 신발,섬김Trade0- 11번가 아마존-등산 신발,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150208&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,보호장비,섬김Trade0- 11번가 아마존-보호장비,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150206&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,등산 잡화,섬김Trade0- 11번가 아마존-등산 잡화,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150205&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
,,섬김Trade0- 11번가 아마존-,,,,,,,,
