,,,,,,,,,,,,,,,,,,,,,,,,
,수집카테고리,필터이름,URL,수집상품 개수,필터 누적 매출금액,,사업자명,수집사이트,총 상품개수,매출합계,,,,,,,,,,,,,,
,DIY 공예 키트,섬김Trade0- 11번가 아마존-DIY 공예 키트,https://searchn.11st.co.kr/pc/amazon?kwd=DIY%2520%25EA%25B3%25B5%25EC%2598%2588%2520%25ED%2582%25A4%25ED%258A%25B8&tabId=AMAZON&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=185611740%2C454104800%2C205809574&reviewGrade=4&pageNo=1,,,,,,,,,,,,,,,,,,,,,
,DIY 공예 키트,섬김Trade0- 11번가 아마존-DIY 공예 키트,https://searchn.11st.co.kr/pc/amazon?kwd=DIY%2520%25EA%25B3%25B5%25EC%2598%2588%2520%25ED%2582%25A4%25ED%258A%25B8&tabId=AMAZON&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=185611740%2C454104800%2C205809574&reviewGrade=4&pageNo=1,,,,,,,,,,,,,,,,,,,,,
,미술·공예 재료,섬김Trade0- 11번가 아마존-미술·공예 재료,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%25AF%25B8%25EC%2588%25A0%25C2%25B7%25EA%25B3%25B5%25EC%2598%2588%2520%25EC%259E%25AC%25EB%25A3%258C&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=451053219%2C453657231%2C455281214&pageNo=1,,,,,,,,,,,,,,,,,,,,,
,미술·공예 재료,섬김Trade0- 11번가 아마존-미술·공예 재료,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%25AF%25B8%25EC%2588%25A0%25C2%25B7%25EA%25B3%25B5%25EC%2598%2588%2520%25EC%259E%25AC%25EB%25A3%258C&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=451053219%2C453657231%2C455281214&pageNo=2,,,,,,,,,,,,,,,,,,,,,
,미술·공예 재료,섬김Trade0- 11번가 아마존-미술·공예 재료,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%25AF%25B8%25EC%2588%25A0%25C2%25B7%25EA%25B3%25B5%25EC%2598%2588%2520%25EC%259E%25AC%25EB%25A3%258C&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=451053219%2C453657231%2C455281214&pageNo=3,,,,,,,,,,,,,,,,,,,,,
,미술·공예 재료,섬김Trade0- 11번가 아마존-미술·공예 재료,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%25AF%25B8%25EC%2588%25A0%25C2%25B7%25EA%25B3%25B5%25EC%2598%2588%2520%25EC%259E%25AC%25EB%25A3%258C&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=451053219%2C453657231%2C455281214&pageNo=4,,,,,,,,,,,,,,,,,,,,,
,미술·공예 재료,섬김Trade0- 11번가 아마존-미술·공예 재료,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%25AF%25B8%25EC%2588%25A0%25C2%25B7%25EA%25B3%25B5%25EC%2598%2588%2520%25EC%259E%25AC%25EB%25A3%258C&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=451053219%2C453657231%2C455281214&pageNo=5,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=1,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=2,,,,,https://www.11st.co.kr/amazon/category?dispCtgr3No=1151108,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=3,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=4,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=5,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=6,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=7,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=8,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=9,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=10,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=11,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=12,,,,,,,,,,,,,,,,,,,,,
